customer_id,full_name,age,gender,email,marital_status,number_of_dependents,employment_status,annual_income,occupation,education_level,residential_status,credit_score,total_assets,total_liabilities,primary_bank,number_of_bank_accounts,number_of_credit_cards,loan_history,investment_portfolio,categories_of_spending,average_monthly_spending,emi_payments,email_engagement,social_media_engagement,website_visits,product_page_visits,ad_clicks,preferred_investment_type,risk_appetite,short-term_goals,long-term_goals,conversion_rate,preferred_communication_channel,churn_risk,previous_offers_shown
1,Lesli Jasik,23,Female,ljasik0@163.com,Married,3,Unemployed,248251,Sales Associate,Master,Renter,628,360274,386250,BNY,5,5,Bad,None,Groceries,17032,733,Ignored,Ignored,42,15,2,Mutual Funds,Low,Travel,Education,23,Email,High,Insurance
2,Pasquale Sausman,42,Male,psausman1@i2i.jp,Widowed,0,Retired,124523,Human Resources Specialist,Bachelor,Renter,651,1036368,8445,BNY,4,4,Good,Real Estate,Luxury,4921,231,Ignored,Clicked,23,14,1,Mutual Funds,Medium,Wedding,Property,19,Email,Medium,Loan
3,Patten Pygott,55,Male,ppygott2@shutterfly.com,Single,5,Employed,395501,Software Engineer,Master,Renter,383,447597,26207,Peoples Bank,2,5,Good,Crypto,Travel,5212,976,Clicked,Clicked,22,4,9,Stocks,Low,Wedding,Retirement,54,WhatsApp,Low,Insurance
4,Doy Crapper,21,Male,dcrapper3@nsw.gov.au,Married,4,Unemployed,192652,Software Engineer,Bachelor,Owner,581,324921,303507,City Bank,1,3,Good,Bonds,Dining,10652,2263,Clicked,Clicked,28,4,7,Stocks,High,Wedding,Retirement,39,SMS,Low,Insurance
5,Pancho Boughtwood,28,Male,pboughtwood4@springer.com,Married,0,Self-employed,440450,Software Engineer,Master,Owner,792,243357,466810,WF,3,9,No history,Crypto,Groceries,19077,4625,Ignored,Ignored,2,7,1,Real Estate,Medium,Travel,Property,59,WhatsApp,High,Insurance
6,Eugenio Beenham,20,Male,ebeenham5@umn.edu,Single,3,Self-employed,371518,Software Engineer,Master,Owner,793,1812405,197483,City Bank,2,0,No history,Bonds,Groceries,11926,3124,Clicked,Opened,41,4,4,Real Estate,Medium,Travel,Property,18,SMS,Low,Loan
7,Karl Sherbrook,18,Male,ksherbrook6@google.com.br,Single,0,Retired,124117,Software Engineer,PhD,Renter,718,1233453,39375,BNY,1,10,No history,None,Dining,7504,4227,Ignored,Opened,36,14,7,Real Estate,Low,Gadgets,Retirement,93,WhatsApp,High,Loan
8,Selinda Banbrick,23,Female,sbanbrick7@instagram.com,Divorced,5,Self-employed,428774,Sales Associate,High School,Owner,518,441994,492265,First Bank,3,6,Good,Real Estate,Travel,8637,1760,Clicked,Clicked,1,16,2,Real Estate,Low,Gadgets,Property,78,SMS,Low,Insurance
9,Margaux Wiffill,47,Female,mwiffill8@gmpg.org,Married,2,Student,83786,Human Resources Specialist,Bachelor,Renter,666,1586622,253599,First Bank,1,4,No history,Real Estate,Luxury,10659,4401,Clicked,Clicked,29,6,4,Real Estate,High,Travel,Retirement,38,SMS,High,Credit Card
10,Thacher Ponde,24,Male,tponde9@seattletimes.com,Divorced,0,Student,204471,Human Resources Specialist,Master,Owner,688,65193,1334,Peoples Bank,1,5,No history,None,Travel,4222,3599,Opened,Ignored,5,1,9,Mutual Funds,High,Gadgets,Education,50,Email,High,Loan
11,Cathee Crompton,26,Female,ccromptona@quantcast.com,Widowed,0,Employed,110348,Graphic Designer,High School,Renter,809,1479004,45215,Community Bank,4,5,No history,Crypto,Luxury,6195,547,Ignored,Opened,36,13,9,Real Estate,Low,Gadgets,Property,100,Email,Medium,Loan
12,Denney Skillen,44,Male,dskillenb@youtu.be,Married,1,Retired,232375,Graphic Designer,Bachelor,Owner,750,1944489,445633,GS,5,2,No history,Crypto,Travel,8930,1383,Ignored,Ignored,19,15,8,Real Estate,High,Gadgets,Property,10,WhatsApp,Low,Credit Card
13,Tedie Gameson,50,Male,tgamesonc@ftc.gov,Single,3,Unemployed,305955,Sales Associate,Master,Owner,456,1923122,263632,BNY,1,0,Bad,Bonds,Dining,13239,4078,Ignored,Ignored,48,18,3,Real Estate,High,Travel,Retirement,23,SMS,Medium,Credit Card
14,Mallory Esson,33,Male,messond@senate.gov,Widowed,2,Self-employed,167521,Graphic Designer,High School,Owner,475,622094,475142,City Bank,2,10,Good,Real Estate,Groceries,12795,4583,Ignored,Opened,49,12,8,Crypto,High,Gadgets,Education,9,SMS,Low,Loan
15,Franky Blasetti,37,Female,fblasettie@huffingtonpost.com,Single,3,Student,265657,Sales Associate,High School,Renter,459,1415151,214451,Community Bank,2,0,Bad,Bonds,Dining,3282,4722,Ignored,Opened,15,19,4,Crypto,Medium,Travel,Education,30,Email,Low,Insurance
16,Merle Medland,22,Male,mmedlandf@deliciousdays.com,Divorced,3,Unemployed,246246,Marketing Manager,Bachelor,Renter,707,794020,106442,BNY,2,0,No history,None,Luxury,8818,105,Opened,Opened,41,5,2,Crypto,Medium,Gadgets,Property,52,Email,Low,Loan
17,Felizio McCartney,23,Male,fmccartneyg@squidoo.com,Single,4,Student,36074,Marketing Manager,PhD,Renter,315,1538259,364081,Peoples Bank,3,7,No history,Crypto,Groceries,10036,3398,Clicked,Clicked,35,8,5,Stocks,Medium,Wedding,Retirement,16,SMS,High,Insurance
